name_ru,name_eng
Ной,Noj
Норман,Norman
Ноэль,Noel
Обри,Obri
Олег,Oleg
Оливер,Oliver
Оливье,Olive
Олимпий,Olimpij
Олоферн,Olofern
Онисим,Onisim
Онисифор,Onisifor
Онуфрий,Onufrij
Орест,Orest
Осип,Osip
Освальд,Osvald
Оскар,Oskar
Осмунд,Osmund
Остап,Ostap
Остин,Ostin
Остромир,Ostromir
Отто,Otto
Оуэн,Ouen
Павел,Pavel
Павлин,Pavlin
Падди,Paddi
Паисий,Paisij
Палладий,Palladij
Памфил,Pamfil
Памфилий,Pamfilij
Панкрат,Pankrat
Панкратий,Pankratij
Пантелей,Pantelej
Пантелеймон,Pantelejmon
Панфил,Panfil
Парамон,Paramon
Пармен,Parmen
Пармëн,Parmën
Парфён,Parfen
Парфений,Parfenij
Парфентий,Parfentij
Пат,Pat
Пати,Pati
Патрик,Patrik
Патрикей,Patrikej
Патрикий,Patrikij
Патрицио,Patritsio
Пафнутий,Pafnutij
Пахом,Pahom
Пахомий,Pahomij
Пер,Per
Перси,Persi
Перфилий,Perfilij
Пётр,Petr
Пий,Pij
Пимен,Pimen
Пип,Pip
Пит,Pit
Питер,Piter
Питирим,Pitirim
Платон,Platon
Пол,Pol
Поль,Pol
Полиграф,Poligraf
Полиевкт,Polievkt
Полиект,Poliekt
Поликарп,Polikarp
Поликарпий,Polikarpij
Порфир,Porfir
Порфирий,Porfirij
Потап,Potap
Потапий,Potapij
Пров,Prov
Прокл,Prokl
Прокоп,Prokop
Прокопий,Prokopij
Прокофий,Prokofij
Протас,Protas
Протасий,Protasij
Прохор,Prohor
Пьер,Per
Пэдди,Peddi
Пэт,Pet
Пэти,Peti
Пэтти,Petti
Равшан,Ravshan
Радий,Radij
Радик,Radik
Радим,Radim
Радислав,Radislav
Радован,Radovan
Раймонд,Rajmond
Ральф,Ralf
Рандольф,Randolf
Расмус,Rasmus
Ратибор,Ratibor
Ратмир,Ratmir
Рафаил,Rafail
Рафаэль,Rafael
Редж,Redzh
Реджи,Redzhi
Реджинальд,Redzhinald
Рей,Rej
Рейнольд,Rejnold
Рем,Rem
Ренат,Renat
Рикардо,Rikardo
Рим,Rim
